Section,Institution,Type,Address,City,State,Zip,Latitude,Longitude,Enrollment,Campus Size,Suitability,Notes
Within,Dartmouth College,Private University,"1 Rope Ferry Road, Hanover, NH 03755",Hanover,NH,03755,43.707839,-72.288418,4447,269,,Ivy League institution with large campus green and extensive outdoor spaces ideal for voter drives
Within,Keene State College,Public University,"229 Main Street, Keene, NH 03435",Keene,NH,03435,42.928014,-72.278101,3500,170,,Part of UNH system with central campus quad and outdoor gathering spaces
Within,Plymouth State University,Public University,"17 High Street, Plymouth, NH 03264",Plymouth,NH,03264,43.759774,-71.690111,4491,170,,Located between White Mountains and Lakes Region with multiple outdoor spaces
Within,River Valley Community College - Keene Academic Center,Community College,"85 Marlboro Street, Keene, NH 03431",Keene,NH,03431,42.92771,-72.274661,1500,10,,Academic center with access to outdoor spaces
Within,Nashua Community College,Community College,"505 Amherst Street, Nashua, NH 03063",Nashua,NH,03063,42.796069,-71.524679,3000,57,,Large campus with extensive outdoor areas and gathering spaces
Within,NHTI - Concord's Community College,Community College,"31 College Drive, Concord, NH 03301",Concord,NH,03301,43.223256,-71.531668,2945,250,,250-acre campus with multiple outdoor spaces and residence halls
Within,Manchester Community College,Community College,"1066 Front Street, Manchester, NH 03102",Manchester,NH,03102,43.018998,-71.483603,2827,57,,57-acre campus near Merrimack River with ample outdoor spaces
Within,Southern New Hampshire University,Private University,"2500 North River Road, Manchester, NH 03106",Manchester,NH,03106,43.040411,-71.453543,2673,338,,Large campus with extensive green spaces and outdoor gathering areas
Near,Franklin Pierce University,Private University,"40 University Drive, Rindge, NH 03461",Rindge,NH,03461,42.770785,-72.05706,1118,1200,,1200-acre campus near Mount Monadnock with extensive outdoor spaces
Near,Lakes Region Community College,Community College,"379 Belmont Road, Laconia, NH 03246",Laconia,NH,03246,43.507453,-71.462669,1700,50,,Campus serving Lakes Region with outdoor spaces for activities
